country_name,year,gdp_per_capita_usd
France,2012,40863.58
Germany,2012,44718.02
Italy,2012,34854.39
Netherlands,2012,50473.94
Spain,2012,28456.44
United Kingdom,2012,42688.33
France,2013,42669.18
Germany,2013,47206.84
Italy,2013,35701.67
Netherlands,2013,52602.29
Spain,2013,29228.85
United Kingdom,2013,43607.66
France,2014,43148.05
Germany,2014,48959.6
Italy,2014,36028.35
Netherlands,2014,53457.22
Spain,2014,29707.77
United Kingdom,2014,47746.98
France,2015,36702.43
Germany,2015,41929.75
Italy,2015,30639.88
Netherlands,2015,45793.81
Spain,2015,25982.44
United Kingdom,2015,45256.04
France,2016,37024.22
Germany,2016,42948.94
Italy,2016,31391.57
Netherlands,2016,46808.53
Spain,2016,26755.61
United Kingdom,2016,41258.54
France,2017,38687.16
Germany,2017,45553.93
Italy,2017,32844.12
Netherlands,2017,49513.68
Spain,2017,28381.34
United Kingdom,2017,40918.05
France,2018,41418.18
Germany,2018,48916.17
Italy,2018,35062.34
Netherlands,2018,53955.08
Spain,2018,30602.42
United Kingdom,2018,43704.32
France,2019,40408.28
Germany,2019,47656.2
Italy,2019,33812.79
Netherlands,2019,53554.9
Spain,2019,29786.52
United Kingdom,2019,43160.68
France,2020,39169.86
Germany,2020,47394.87
Italy,2020,32091.49
Netherlands,2020,53467.93
Spain,2020,27233.94
United Kingdom,2020,40815.13
France,2021,43725.1
Germany,2021,52349.25
Italy,2021,36852.54
Netherlands,2021,60141.99
Spain,2021,30799.48
United Kingdom,2021,47695.65
France,2022,40988.64
Germany,2022,50506.52
Italy,2022,35653.9
Netherlands,2022,59123.32
Spain,2022,30319.5
United Kingdom,2022,47034.78
France,2023,44700.14
Germany,2023,54776.77
Italy,2023,39279.7
Netherlands,2023,63515.6
Spain,2023,33493.22
United Kingdom,2023,49919.69
France,2024,46103.08
Germany,2024,56103.73
Italy,2024,40429.62
Netherlands,2024,67465.32
Spain,2024,35326.77
United Kingdom,2024,53341.31
